plyrId,avgPick,draftCnt,totDrafts,pprFlg,year
8658,3.78,732,725,0,2015
11192,4.33,729,725,0,2015
11201,4.77,732,725,0,2015
9054,5.80,730,725,0,2015
10695,7.14,712,725,0,2015
8670,8.22,731,725,0,2015
9988,8.51,733,725,0,2015
7836,9.82,710,725,0,2015
9823,11.29,733,725,0,2015
11454,13.48,732,725,0,2015
10302,13.82,731,725,0,2015
9884,14.14,734,725,0,2015
11679,14.14,735,725,0,2015
9902,14.61,731,725,0,2015
10271,14.88,735,725,0,2015
9122,16.41,733,725,0,2015
11654,17.53,731,725,0,2015
8657,17.92,733,725,0,2015
9448,20.36,734,725,0,2015
10308,21.41,734,725,0,2015
10261,22.23,735,725,0,2015
10729,25.09,734,725,0,2015
9278,27.98,734,725,0,2015
9925,29.85,732,725,0,2015
10722,30.04,732,725,0,2015
10708,30.91,734,725,0,2015
3291,30.99,710,725,0,2015
11671,32.14,734,725,0,2015
11674,32.86,735,725,0,2015
10276,33.51,733,725,0,2015
7877,34.75,734,725,0,2015
10703,35.98,712,725,0,2015
9918,37.29,734,725,0,2015
10272,37.45,40,725,0,2015
12151,37.47,732,725,0,2015
4925,37.56,713,725,0,2015
11232,38.39,731,725,0,2015
11676,38.71,732,725,0,2015
10870,39.37,731,725,0,2015
9118,41.52,152,725,0,2015
11657,42.29,729,725,0,2015
7401,43.70,713,725,0,2015
11390,43.93,731,725,0,2015
12175,49.60,733,725,0,2015
11200,49.83,729,725,0,2015
6931,49.92,730,725,0,2015
9831,51.12,732,725,0,2015
11222,52.58,730,725,0,2015
12150,54.69,729,725,0,2015
11175,56.59,728,725,0,2015
9662,57.06,732,725,0,2015
12155,57.98,730,725,0,2015
9101,58.14,728,725,0,2015
8687,58.23,726,725,0,2015
11670,58.59,731,725,0,2015
9436,59.01,730,725,0,2015
9099,59.35,713,725,0,2015
11675,59.40,724,725,0,2015
5848,59.87,712,725,0,2015
9690,60.19,723,725,0,2015
7260,60.30,709,725,0,2015
10709,61.64,728,725,0,2015
8360,63.47,730,725,0,2015
12153,64.39,730,725,0,2015
11244,64.46,719,725,0,2015
11673,66.21,130,725,0,2015
10773,66.65,40,725,0,2015
11680,66.91,732,725,0,2015
9075,66.94,726,725,0,2015
9431,71.12,712,725,0,2015
9898,71.73,726,725,0,2015
10077,73.31,725,725,0,2015
11688,74.17,725,725,0,2015
12181,76.93,724,725,0,2015
9822,77.67,725,725,0,2015
9044,79.08,711,725,0,2015
7873,81.32,724,725,0,2015
9525,82.32,723,725,0,2015
11678,82.59,719,725,0,2015
11193,82.76,723,725,0,2015
10048,83.62,718,725,0,2015
10768,83.72,40,725,0,2015
0515,83.86,661,725,0,2015
10273,86.44,710,725,0,2015
9680,86.53,718,725,0,2015
10697,86.56,713,725,0,2015
6997,90.15,703,725,0,2015
7393,90.91,723,725,0,2015
11668,90.91,715,725,0,2015
12152,93.15,706,725,0,2015
11409,93.32,706,725,0,2015
10269,93.49,39,725,0,2015
7391,94.05,707,725,0,2015
10277,94.38,39,725,0,2015
11728,95.82,39,725,0,2015
10080,96.39,714,725,0,2015
4974,97.19,722,725,0,2015
9817,97.49,708,725,0,2015
7394,97.64,708,725,0,2015
7839,98.99,716,725,0,2015
10372,100.16,680,725,0,2015
10352,101.53,672,725,0,2015
11783,103.14,699,725,0,2015
0532,103.15,661,725,0,2015
0501,103.38,661,725,0,2015
11834,104.02,707,725,0,2015
10775,104.40,40,725,0,2015
10289,105.36,709,725,0,2015
9851,105.69,712,725,0,2015
